[2026-04-04T04:14:51.010Z] POST https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/weddings?select=* → pending (?ms, ?B)
[2026-04-04T04:14:51.387Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/auth/v1/user → 200 (124ms, 319B)
[2026-04-04T04:14:51.511Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/weddings?select=*&user_id=eq.00a50445-5853-43ab-bfc1-a33f2cb5324f&order=date.asc → 200 (170ms, 529B)
[2026-04-04T04:15:06.403Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/weddings?select=*&id=eq.c69b0c5a-f60c-47f9-8c88-6ad35bbaa9a1 → 200 (180ms, 259B)
[2026-04-04T04:15:06.403Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/memories?select=*&wedding_id=eq.c69b0c5a-f60c-47f9-8c88-6ad35bbaa9a1 → 200 (200ms, 2B)
[2026-04-04T04:15:06.596Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo%2Fvector-icons%2Fbuild%2Fvendor%2Freact-native-vector-icons%2FFonts/Ionicons.ttf → 200 (5ms, 389724B)
[2026-04-04T04:15:06.601Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F700Bold/Gaegu_700Bold.ttf → 200 (13ms, 2961780B)
[2026-04-04T04:15:20.669Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/auth/v1/user → 200 (198ms, 319B)
[2026-04-04T04:15:20.868Z] POST https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/memories?on_conflict=wedding_id&select=* → 201 (172ms, 269B)
[2026-04-04T04:15:21.047Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/memories?select=*&wedding_id=eq.c69b0c5a-f60c-47f9-8c88-6ad35bbaa9a1 → pending (?ms, ?B)
[2026-04-04T04:15:21.160Z] GET http://localhost:8081/settings → 200 (6ms, 1280B)
[2026-04-04T04:15:21.170Z] GET http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app&unstable_transformProfile=hermes-stable → pending (?ms, ?B)
[2026-04-04T04:15:21.412Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Ffredoka%2F400Regular/Fredoka_400Regular.ttf → 200 (2ms, 50004B)
[2026-04-04T04:15:21.412Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Ffredoka%2F600SemiBold/Fredoka_600SemiBold.ttf → 200 (2ms, 49900B)
[2026-04-04T04:15:21.412Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F400Regular/Gaegu_400Regular.ttf → 200 (7ms, 3164924B)
[2026-04-04T04:15:21.412Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F700Bold/Gaegu_700Bold.ttf → 200 (9ms, 2961780B)
[2026-04-04T04:15:21.444Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo%2Fvector-icons%2Fbuild%2Fvendor%2Freact-native-vector-icons%2FFonts/Ionicons.ttf → 200 (7ms, 389724B)
[2026-04-04T04:15:21.448Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F700Bold/Gaegu_700Bold.ttf → 200 (10ms, 2961780B)
[2026-04-04T04:15:21.449Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/auth/v1/user → 200 (109ms, 319B)
[2026-04-04T04:15:39.448Z] GET http://localhost:8081/settings → 200 (7ms, 1280B)
[2026-04-04T04:15:39.457Z] GET http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app&unstable_transformProfile=hermes-stable → 200 (117ms, 5792873B)
[2026-04-04T04:15:39.703Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Ffredoka%2F400Regular/Fredoka_400Regular.ttf → 200 (?ms, 50004B)
[2026-04-04T04:15:39.703Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Ffredoka%2F600SemiBold/Fredoka_600SemiBold.ttf → 200 (?ms, 49900B)
[2026-04-04T04:15:39.703Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F400Regular/Gaegu_400Regular.ttf → 200 (9ms, 3164924B)
[2026-04-04T04:15:39.703Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F700Bold/Gaegu_700Bold.ttf → 200 (9ms, 2961780B)
[2026-04-04T04:15:39.735Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo%2Fvector-icons%2Fbuild%2Fvendor%2Freact-native-vector-icons%2FFonts/Ionicons.ttf → 200 (8ms, 389724B)
[2026-04-04T04:15:39.740Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F700Bold/Gaegu_700Bold.ttf → 200 (8ms, 2961780B)
[2026-04-04T04:15:39.741Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/auth/v1/user → 200 (133ms, 319B)
[2026-04-04T04:16:16.840Z] GET http://localhost:8081/ → 200 (6ms, 1280B)
